Epoch,Training_Loss,Validation_Loss,Training_Accuracy,Validation_Accuracy,Training_Precision,Validation_Precision,Training_Recall,Validation_Recall
1,0.6682857871055603,0.6484811902046204,0.653835117816925,0.7316933870315552,0.6401765942573547,0.7801046967506409,0.6754003167152405,0.6644369959831238
2,0.6368388533592224,0.6152417659759521,0.6851745843887329,0.7322654724121094,0.7187389135360718,0.7760617733001709,0.5906841158866882,0.6722407937049866
3,0.6156091094017029,0.5930366516113281,0.6881797313690186,0.7316933870315552,0.7024500370025635,0.7736572623252869,0.6343522667884827,0.6744704842567444
4,0.597808837890625,0.5773539543151855,0.6966227889060974,0.7339816689491272,0.7116189002990723,0.7686567306518555,0.6436681151390076,0.6889632344245911
5,0.5926375389099121,0.568279504776001,0.6974813938140869,0.7368420958518982,0.7104173302650452,0.7598097324371338,0.6491994261741638,0.7123745679855347
6,0.5888597965240479,0.5637692213058472,0.7034916877746582,0.736270010471344,0.7097568511962891,0.7691357731819153,0.671324610710144,0.694537341594696
7,0.5874714255332947,0.5606603026390076,0.696336567401886,0.7351258397102356,0.705863893032074,0.7601918578147888,0.6553129553794861,0.7068004608154297
8,0.5855450630187988,0.558890700340271,0.6961934566497803,0.7345537543296814,0.7027193903923035,0.7605294585227966,0.6620087623596191,0.7045707702636719
9,0.5817363262176514,0.5574820041656494,0.7022037506103516,0.7356979250907898,0.7067806720733643,0.7604790329933167,0.6736535429954529,0.7079152464866638
10,0.5824419260025024,0.5566320419311523,0.6994848251342773,0.7339816689491272,0.7050691246986389,0.7577565908432007,0.6681222915649414,0.7079152464866638
11,0.583943784236908,0.5566000938415527,0.7022037506103516,0.7351258397102356,0.7060255408287048,0.7595694065093994,0.6754003167152405,0.7079152464866638
12,0.5827100276947021,0.5560690760612488,0.7014882564544678,0.7316933870315552,0.7058284878730774,0.7523584961891174,0.6733624339103699,0.7112597823143005
13,0.5811553597450256,0.5559697151184082,0.7010589838027954,0.7288329601287842,0.7040630578994751,0.744508683681488,0.6759825348854065,0.7179487347602844
14,0.5821385979652405,0.5561550855636597,0.7049227356910706,0.7351258397102356,0.7088530659675598,0.7595694065093994,0.6783115267753601,0.7079152464866638
15,0.5841718316078186,0.55616694688797,0.7027761936187744,0.7316933870315552,0.7043949365615845,0.754156768321991,0.6812227368354797,0.7079152464866638
16,0.5783981680870056,0.555290699005127,0.7056382298469543,0.7351258397102356,0.7103174328804016,0.7595694065093994,0.6774381399154663,0.7079152464866638
17,0.5807807445526123,0.5550984144210815,0.706926167011261,0.7299771308898926,0.7112396955490112,0.7514792680740356,0.6797671318054199,0.7079152464866638
18,0.5840582847595215,0.5555025339126587,0.7014882564544678,0.7299771308898926,0.7048284411430359,0.7514792680740356,0.6756914258003235,0.7079152464866638
19,0.5827552080154419,0.5554831027984619,0.7022037506103516,0.7294050455093384,0.7056500315666199,0.7482435703277588,0.6762736439704895,0.7123745679855347
20,0.5818471908569336,0.5561424493789673,0.7033485770225525,0.7368420958518982,0.705491840839386,0.7635705471038818,0.680640459060669,0.7056856155395508
21,0.581429660320282,0.5551614761352539,0.7032054662704468,0.72826087474823,0.7127227187156677,0.7419725060462952,0.663755476474762,0.7212932109832764
22,0.5834649205207825,0.5557777285575867,0.7009158730506897,0.736270010471344,0.6996141076087952,0.7620192170143127,0.6861717700958252,0.7068004608154297
23,0.5788098573684692,0.5546738505363464,0.7056382298469543,0.72826087474823,0.7134448289871216,0.7425287365913391,0.6704512238502502,0.7201783657073975
24,0.5798737406730652,0.5545191764831543,0.704064130783081,0.7271167039871216,0.7047020196914673,0.7436195015907288,0.6850072741508484,0.7146042585372925
25,0.5782406330108643,0.5550996661186218,0.70864337682724,0.739130437374115,0.712937593460083,0.7679222226142883,0.6818049550056458,0.7045707702636719
26,0.581434428691864,0.55472332239151,0.7037779092788696,0.731121301651001,0.7081426978111267,0.7532621622085571,0.6759825348854065,0.7079152464866638
27,0.576987087726593,0.5539868474006653,0.7043502926826477,0.7276887893676758,0.7082446217536926,0.7444831728935242,0.6777292490005493,0.7146042585372925
28,0.5792187452316284,0.554022490978241,0.7026330828666687,0.7299771308898926,0.7056683897972107,0.7491207718849182,0.6777292490005493,0.7123745679855347
29,0.5796753168106079,0.5541816353797913,0.7044934034347534,0.7288329601287842,0.7078276872634888,0.7491165995597839,0.6791848540306091,0.7090300917625427
30,0.5805153846740723,0.5542601943016052,0.7027761936187744,0.7276887893676758,0.7050120830535889,0.7444831728935242,0.6797671318054199,0.7146042585372925
31,0.5820392370223999,0.5544576644897461,0.7056382298469543,0.7299771308898926,0.7087878584861755,0.7491207718849182,0.680931568145752,0.7123745679855347
32,0.5804151892662048,0.554450511932373,0.7062106728553772,0.72826087474823,0.7078820466995239,0.7447795867919922,0.6850072741508484,0.7157190442085266
33,0.5852783918380737,0.5548098087310791,0.7019175887107849,0.731121301651001,0.7041062712669373,0.7532621622085571,0.6788937449455261,0.7079152464866638
34,0.580873966217041,0.5550407767295837,0.7019175887107849,0.7328375577926636,0.7058465480804443,0.7565632462501526,0.6748180389404297,0.7068004608154297
35,0.581394374370575,0.5546377301216125,0.7050658464431763,0.7288329601287842,0.7059352397918701,0.7491165995597839,0.6855894923210144,0.7090300917625427
36,0.5827880501747131,0.5551553964614868,0.7044934034347534,0.7368420958518982,0.7035056352615356,0.7629362344741821,0.6893740892410278,0.7068004608154297
37,0.5802372694015503,0.5547525882720947,0.7067830562591553,0.7299771308898926,0.7097457647323608,0.7514792680740356,0.6826782822608948,0.7079152464866638
38,0.5807963013648987,0.5547307729721069,0.7046365141868591,0.7299771308898926,0.7067873477935791,0.7514792680740356,0.6820960640907288,0.7079152464866638
39,0.579465925693512,0.5545246005058289,0.7059244513511658,0.7294050455093384,0.7097264528274536,0.7505910396575928,0.6797671318054199,0.7079152464866638
40,0.5829205513000488,0.5546445250511169,0.7063537240028381,0.7276887893676758,0.709481954574585,0.7439165711402893,0.6818049550056458,0.7157190442085266
41,0.5812239646911621,0.5545750856399536,0.7022037506103516,0.7322654724121094,0.7040385603904724,0.7550535202026367,0.6800582408905029,0.7079152464866638
42,0.5805957317352295,0.5543262362480164,0.7050658464431763,0.731121301651001,0.707929790019989,0.752662718296051,0.680931568145752,0.7090300917625427
