Threshold,Accuracy,Precision,Recall,F1_Score
0.0,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.01,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.02,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.03,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.04,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.05,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.06,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.07,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.08,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.09,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.1,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.11,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.12,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.13,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.14,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.15,0.4965675057208238,0.49633699633699635,1.0,0.6634026927784578
0.16,0.4979405034324943,0.49701698026617713,0.9990774907749077,0.6638063132087036
0.17,0.5016018306636155,0.4988473951129553,0.9981549815498155,0.665232093452198
0.18,0.5153318077803204,0.5058768218147626,0.992619926199262,0.670196200560573
0.19,0.5336384439359267,0.5156174915905815,0.9898523985239852,0.678041074249605
0.2,0.5546910755148742,0.5274888558692422,0.9824723247232472,0.6864324846922333
0.21,0.5665903890160183,0.5348246059989832,0.9704797047970479,0.6896099639462472
0.22,0.5835240274599542,0.5455020920502092,0.9621771217712177,0.6962616822429907
0.23,0.5958810068649886,0.5538873994638069,0.9529520295202952,0.7005764665988471
0.24,0.5986270022883295,0.5565264882577826,0.9400369003690037,0.6991423670668954
0.25,0.6224256292906178,0.5742971887550201,0.9234317343173432,0.708171206225681
0.26,0.6334096109839817,0.5836782968657599,0.9105166051660517,0.7113513513513513
0.27,0.6443935926773455,0.5943454210202828,0.8920664206642066,0.7133898930284028
0.28,0.65720823798627,0.6062143310082435,0.8819188191881919,0.7185268695978956
0.29,0.6636155606407322,0.6127989657401423,0.8745387453874539,0.7206385404789054
0.3,0.6668192219679634,0.6167979002624672,0.8671586715867159,0.7208588957055214
0.31,0.6727688787185355,0.62357669122572,0.8588560885608856,0.7225455956538611
0.32,0.6759725400457666,0.6271989174560216,0.8551660516605166,0.7236533957845434
0.33,0.6764302059496567,0.6293754289636239,0.8459409594095941,0.721763085399449
0.34,0.6805491990846682,0.6351540616246498,0.8367158671586716,0.7221337579617835
0.35000000000000003,0.6832951945080091,0.6392045454545454,0.8302583025830258,0.7223113964686998
0.36,0.6910755148741419,0.6515937731653076,0.8108856088560885,0.7225647348951911
0.37,0.6938215102974828,0.6568405139833712,0.801660516605166,0.7220606564187786
0.38,0.6983981693363844,0.6646010844306739,0.7915129151291513,0.7225263157894737
0.39,0.702974828375286,0.672209026128266,0.783210332103321,0.7234767788666383
0.4,0.7102974828375286,0.6843826655764513,0.772140221402214,0.7256176853055917
0.41000000000000003,0.7112128146453089,0.6882793017456359,0.7638376383763837,0.7240926978574552
0.42,0.7162471395881007,0.6966101694915254,0.7583025830258303,0.726148409893993
0.43,0.7185354691075515,0.7023295944779983,0.7509225092250923,0.7258136424431565
0.44,0.7180778032036613,0.7052631578947368,0.7416974169741697,0.7230215827338129
0.45,0.7221967963386727,0.7123775601068566,0.7380073800738007,0.724966017217943
0.46,0.7258581235697941,0.7206551410373067,0.7306273062730627,0.7256069628950985
0.47000000000000003,0.7267734553775743,0.7256719184430028,0.7223247232472325,0.723994452149792
0.48,0.7254004576659039,0.7291666666666666,0.7103321033210332,0.719626168224299
0.49,0.7244851258581235,0.7321772639691715,0.7011070110701108,0.7163053722902922
0.5,0.7231121281464531,0.7336585365853658,0.6937269372693727,0.7131341868183974
0.51,0.7244851258581235,0.7381422924901185,0.6891143911439115,0.7127862595419847
0.52,0.7231121281464531,0.7426545086119554,0.6761992619926199,0.7078705939159826
0.53,0.7263157894736842,0.75,0.672509225092251,0.7091439688715954
0.54,0.7244851258581235,0.7526205450733753,0.6623616236162362,0.704612365063788
0.55,0.7272311212814645,0.7606837606837606,0.6568265682656826,0.7049504950495049
0.56,0.7235697940503433,0.7637362637362637,0.6411439114391144,0.6970912738214644
0.5700000000000001,0.7244851258581235,0.7726244343891403,0.6300738007380073,0.6941056910569106
0.58,0.7240274599542335,0.7793263646922184,0.6190036900369004,0.6899742930591259
0.59,0.7208237986270023,0.7808056872037915,0.6079335793357934,0.6836099585062241
0.6,0.7162471395881007,0.7808716707021792,0.5950184501845018,0.675392670157068
0.61,0.7185354691075515,0.7920298879202988,0.5867158671586716,0.6740858505564388
0.62,0.7176201372997711,0.7966963151207116,0.5784132841328413,0.6702298236237306
0.63,0.7185354691075515,0.8041504539559015,0.5719557195571956,0.6684636118598383
0.64,0.7153318077803204,0.808,0.559040590405904,0.6608505997818975
0.65,0.7144164759725401,0.8099730458221024,0.5544280442804428,0.6582694414019715
0.66,0.7135011441647597,0.8128415300546448,0.5488929889298892,0.6552863436123348
0.67,0.7102974828375286,0.8136300417246175,0.5396678966789668,0.64891846921797
0.68,0.7089244851258582,0.8146067415730337,0.5350553505535055,0.6458797327394209
0.6900000000000001,0.7098398169336384,0.8196022727272727,0.5322878228782287,0.645413870246085
0.7000000000000001,0.7089244851258582,0.8218390804597702,0.5276752767527675,0.6426966292134831
0.71,0.7070938215102975,0.8217391304347826,0.5230627306273062,0.6392333709131905
0.72,0.7070938215102975,0.8255131964809385,0.5193726937269373,0.637599093997735
0.73,0.7052631578947368,0.8264094955489614,0.5138376383763837,0.6336746302616609
0.74,0.7043478260869566,0.8308157099697885,0.507380073800738,0.6300114547537228
0.75,0.7038901601830664,0.8451816745655608,0.4935424354243542,0.623179965055329
0.76,0.6929061784897025,0.8494077834179357,0.46309963099630996,0.5994029850746269
0.77,0.6480549199084669,0.8620689655172413,0.3459409594095941,0.4937458854509546
0.78,0.5839816933638444,0.8787878787878788,0.18726937269372693,0.308745247148289
0.79,0.5304347826086957,0.881578947368421,0.061808118081180814,0.11551724137931034
0.8,0.5098398169336384,0.9333333333333333,0.012915129151291513,0.025477707006369428
0.81,0.5038901601830663,0.0,0.0,0.0
0.8200000000000001,0.5038901601830663,0.0,0.0,0.0
0.8300000000000001,0.5038901601830663,0.0,0.0,0.0
0.84,0.5038901601830663,0.0,0.0,0.0
0.85,0.5038901601830663,0.0,0.0,0.0
0.86,0.5038901601830663,0.0,0.0,0.0
0.87,0.5038901601830663,0.0,0.0,0.0
0.88,0.5038901601830663,0.0,0.0,0.0
0.89,0.5038901601830663,0.0,0.0,0.0
0.9,0.5038901601830663,0.0,0.0,0.0
0.91,0.5038901601830663,0.0,0.0,0.0
0.92,0.5038901601830663,0.0,0.0,0.0
0.93,0.5038901601830663,0.0,0.0,0.0
0.9400000000000001,0.5038901601830663,0.0,0.0,0.0
0.9500000000000001,0.5038901601830663,0.0,0.0,0.0
0.96,0.5038901601830663,0.0,0.0,0.0
0.97,0.5038901601830663,0.0,0.0,0.0
0.98,0.5038901601830663,0.0,0.0,0.0
0.99,0.5038901601830663,0.0,0.0,0.0
1.0,0.5038901601830663,0.0,0.0,0.0
