False_Positive_Rate,True_Positive_Rate,Threshold
0.0,0.0,inf
0.0,0.0009225092250922509,0.8083807
0.0,0.0018450184501845018,0.806898
0.0009082652134423251,0.0018450184501845018,0.806497
0.0009082652134423251,0.014760147601476014,0.79925925
0.0018165304268846503,0.014760147601476014,0.79862887
0.0018165304268846503,0.015682656826568265,0.79856455
0.0027247956403269754,0.015682656826568265,0.7983611
0.0027247956403269754,0.016605166051660517,0.79803544
0.0036330608537693005,0.016605166051660517,0.7979876
0.0036330608537693005,0.017527675276752766,0.797922
0.004541326067211626,0.017527675276752766,0.79780865
0.004541326067211626,0.023985239852398525,0.79501075
0.005449591280653951,0.023985239852398525,0.7949079
0.005449591280653951,0.03966789667896679,0.7926748
0.006357856494096276,0.03966789667896679,0.7925284
0.006357856494096276,0.045202952029520294,0.7920464
0.007266121707538601,0.045202952029520294,0.79195344
0.007266121707538601,0.0470479704797048,0.79179955
0.008174386920980926,0.0470479704797048,0.7917583
0.008174386920980926,0.07380073800738007,0.7886093
0.009082652134423252,0.07380073800738007,0.78852934
0.009082652134423252,0.08118081180811808,0.7878377
0.009990917347865577,0.08118081180811808,0.7877335
0.009990917347865577,0.08487084870848709,0.7873714
0.009990917347865577,0.08671586715867159,0.7873279
0.009990917347865577,0.08948339483394833,0.7869105
0.010899182561307902,0.08948339483394833,0.78684676
0.010899182561307902,0.09132841328413284,0.7865993
0.011807447774750226,0.09132841328413284,0.78640735
0.011807447774750226,0.09501845018450185,0.7862424
0.012715712988192553,0.09686346863468635,0.78624225
0.012715712988192553,0.09778597785977859,0.7860942
0.013623978201634877,0.09778597785977859,0.78601456
0.013623978201634877,0.09870848708487084,0.7860121
0.014532243415077202,0.09870848708487084,0.78599155
0.014532243415077202,0.11346863468634687,0.7853097
0.015440508628519528,0.11346863468634687,0.78530073
0.015440508628519528,0.1448339483394834,0.7832043
0.01634877384196185,0.1448339483394834,0.78318954
0.01634877384196185,0.14852398523985239,0.7830236
0.01725703905540418,0.14852398523985239,0.7829504
0.01725703905540418,0.14944649446494465,0.78288627
0.018165304268846504,0.14944649446494465,0.7828714
0.018165304268846504,0.1522140221402214,0.7824834
0.01907356948228883,0.1522140221402214,0.78247917
0.01907356948228883,0.16236162361623616,0.78201646
0.019981834695731154,0.16236162361623616,0.78193593
0.019981834695731154,0.16420664206642066,0.7818968
0.02089009990917348,0.16420664206642066,0.7817677
0.02089009990917348,0.16605166051660517,0.78165394
0.02089009990917348,0.16789667896678967,0.78159803
0.021798365122615803,0.16789667896678967,0.7814503
0.021798365122615803,0.17435424354243542,0.78099114
0.022706630336058128,0.17435424354243542,0.7809693
0.022706630336058128,0.1752767527675277,0.78092676
0.022706630336058128,0.17712177121771217,0.7808788
0.022706630336058128,0.17896678966789667,0.7807875
0.02452316076294278,0.17896678966789667,0.7807363
0.02452316076294278,0.18450184501845018,0.7804349
0.025431425976385105,0.18542435424354242,0.7802857
0.025431425976385105,0.18726937269372693,0.7800221
0.02633969118982743,0.18726937269372693,0.77999955
0.02633969118982743,0.19649446494464945,0.77975124
0.02815622161671208,0.19649446494464945,0.7796893
0.02815622161671208,0.20018450184501846,0.779375
0.029064486830154404,0.20018450184501846,0.7793045
0.029064486830154404,0.21033210332103322,0.7787758
0.02997275204359673,0.21033210332103322,0.77868766
0.02997275204359673,0.21125461254612546,0.7785016
0.02997275204359673,0.2140221402214022,0.7784388
0.02997275204359673,0.21678966789667897,0.77801913
0.030881017257039057,0.21678966789667897,0.77801263
0.030881017257039057,0.21863468634686348,0.7780063
0.03178928247048138,0.21863468634686348,0.77798307
0.03178928247048138,0.22047970479704798,0.77797544
0.03178928247048138,0.23800738007380073,0.77695405
0.0326975476839237,0.238929889298893,0.77675045
0.0326975476839237,0.246309963099631,0.776483
0.03451407811080836,0.246309963099631,0.77627397
0.03451407811080836,0.253690036900369,0.7758808
0.035422343324250684,0.253690036900369,0.7758513
0.035422343324250684,0.2564575645756458,0.77551544
0.03723887375113533,0.2564575645756458,0.7753589
0.03723887375113533,0.2666051660516605,0.7744899
0.03814713896457766,0.2666051660516605,0.77440953
0.03814713896457766,0.2693726937269373,0.7742936
0.03814713896457766,0.2730627306273063,0.7742312
0.03814713896457766,0.275830258302583,0.7738591
0.03905540417801998,0.275830258302583,0.7738457
0.03905540417801998,0.2887453874538745,0.77307224
0.04087193460490463,0.2887453874538745,0.7730493
0.04087193460490463,0.29428044280442806,0.77273405
0.04178019981834696,0.29428044280442806,0.77259296
0.04178019981834696,0.2952029520295203,0.77259237
0.04268846503178928,0.2952029520295203,0.7725669
0.04268846503178928,0.29797047970479706,0.7724689
0.043596730245231606,0.29797047970479706,0.7724442
0.043596730245231606,0.3007380073800738,0.772307
0.04450499545867393,0.3007380073800738,0.7722757
0.04450499545867393,0.3044280442804428,0.7720376
0.04632152588555858,0.3044280442804428,0.7719569
0.04632152588555858,0.30719557195571956,0.77182496
0.047229791099000905,0.30719557195571956,0.7717421
0.047229791099000905,0.30904059040590404,0.7716828
0.048138056312443236,0.30904059040590404,0.7716743
0.048138056312443236,0.3182656826568266,0.7713405
0.048138056312443236,0.32011070110701106,0.77125
0.04904632152588556,0.32287822878228783,0.771166
0.04904632152588556,0.3247232472324723,0.7711342
0.049954586739327886,0.3247232472324723,0.77112734
0.049954586739327886,0.32564575645756455,0.771114
0.05086285195277021,0.32564575645756455,0.77103335
0.05086285195277021,0.3284132841328413,0.7709705
0.05086285195277021,0.3311808118081181,0.7709688
0.05086285195277021,0.33579335793357934,0.7707911
0.05267938237965486,0.33579335793357934,0.7706741
0.05267938237965486,0.33948339483394835,0.77056634
0.053587647593097185,0.33948339483394835,0.7705637
0.053587647593097185,0.3413284132841328,0.7704381
0.053587647593097185,0.34501845018450183,0.7702557
0.05449591280653951,0.34501845018450183,0.7702178
0.05449591280653951,0.35424354243542433,0.7696161
0.05631244323342416,0.35424354243542433,0.7696058
0.05722070844686648,0.35424354243542433,0.7694808
0.05722070844686648,0.3551660516605166,0.76946306
0.05812897366030881,0.3551660516605166,0.769413
0.05812897366030881,0.35885608856088563,0.76931083
0.05812897366030881,0.36162361623616235,0.76930135
0.05812897366030881,0.3634686346863469,0.7691113
0.05903723887375113,0.3634686346863469,0.76909506
0.05903723887375113,0.36531365313653136,0.7690475
0.05994550408719346,0.36531365313653136,0.7688757
0.05994550408719346,0.3671586715867159,0.76882046
