Configuration,ROC-AUC,PR-AUC,F1,Accuracy,Precision,Recall,Avg_Precision,Best_Threshold
Deep_8x5,0.5,0.9280575539568345,0.9224806201550387,0.8561151079136691,0.8561151079136691,1.0,0.8561151079136691,0.0
Mixed_32-16-8,0.5,0.9280575539568345,0.9224806201550387,0.8561151079136691,0.8561151079136691,1.0,0.8561151079136691,0.0
Medium_16-8,0.5202965483714147,0.8635146867595821,0.9224806201550387,0.8561151079136691,0.8561151079136691,1.0,0.8649350636889418,0.0
Uniform_12x3,0.5192739079102715,0.8632437168557823,0.9224806201550387,0.8561151079136691,0.8561151079136691,1.0,0.8641775142091671,0.0
Small_8-4,0.5199006875477463,0.8630171778085969,0.9224806201550387,0.8561151079136691,0.8561151079136691,1.0,0.86458781469452,0.0
Simple_4,0.5205604555871935,0.8629942967501969,0.9224806201550387,0.8561151079136691,0.8561151079136691,1.0,0.8644179645767736,0.0
Triple_16-8-4,0.5233019654142649,0.8626016744611057,0.9224806201550387,0.8561151079136691,0.8561151079136691,1.0,0.8641321623077216,0.0
Wide_64-32-16-4,0.48807556080283354,0.8490689371481552,0.9224806201550387,0.8561151079136691,0.8561151079136691,1.0,0.8511637688494224,0.0
