Epoch,Training_Loss,Validation_Loss,Training_Accuracy,Validation_Accuracy,Training_Precision,Validation_Precision,Training_Recall,Validation_Recall
1,0.6713683009147644,0.6398175358772278,0.5997424125671387,0.6824942827224731,0.5841244459152222,0.6875,0.6448326110839844,0.6989966630935669
2,0.6402591466903687,0.5981015563011169,0.6644247174263,0.717391312122345,0.696893036365509,0.7599999904632568,0.5615720748901367,0.656633198261261
3,0.6179215312004089,0.5869734883308411,0.6820263266563416,0.7213959097862244,0.7330003976821899,0.7871148586273193,0.5554584860801697,0.6265329122543335
4,0.608291745185852,0.573880672454834,0.6863194108009338,0.7231121063232422,0.7364016771316528,0.7786774635314941,0.5636098980903625,0.6432552933692932
5,0.6071235537528992,0.5718098282814026,0.6926159262657166,0.7259725332260132,0.737366259098053,0.7847411632537842,0.5819504857063293,0.6421404480934143
6,0.6040176153182983,0.5722376108169556,0.697910726070404,0.72826087474823,0.7349183559417725,0.7906336188316345,0.6029112339019775,0.6399108171463013
7,0.5994141697883606,0.5667740106582642,0.6983399987220764,0.7294050455093384,0.7363733649253845,0.771794855594635,0.6017467379570007,0.6711259484291077
8,0.6007288098335266,0.5701696276664734,0.7017744779586792,0.7305492162704468,0.7343045473098755,0.7766233682632446,0.6163027882575989,0.6666666865348816
9,0.6006551384925842,0.5622408390045166,0.697910726070404,0.7236841917037964,0.7300208210945129,0.7561880946159363,0.6116448044776917,0.6811594367027283
10,0.5965595841407776,0.5657075047492981,0.7036347985267639,0.7231121063232422,0.7322888374328613,0.7527539730072021,0.6259097456932068,0.6856187582015991
11,0.5936477780342102,0.5652896165847778,0.7030624151229858,0.7248283624649048,0.7277293801307678,0.756157636642456,0.6326055526733398,0.6845039129257202
12,0.5942673683166504,0.5626912117004395,0.7013451457023621,0.7242562770843506,0.7243674993515015,0.7539779543876648,0.6334788799285889,0.6867335438728333
13,0.5959960222244263,0.5655993223190308,0.6994848251342773,0.7259725332260132,0.7199341058731079,0.7679487466812134,0.6360989809036255,0.6677814722061157
14,0.5970686674118042,0.5675877928733826,0.6971951723098755,0.7299771308898926,0.7158756256103516,0.7799736261367798,0.6366811990737915,0.6599776744842529
15,0.5906149744987488,0.5618597269058228,0.7002003192901611,0.725400447845459,0.7239304780960083,0.7590062022209167,0.6305676698684692,0.6811594367027283
16,0.5909660458564758,0.5675884485244751,0.7010589838027954,0.7322654724121094,0.7240346074104309,0.7886945009231567,0.6331877708435059,0.653288722038269
17,0.591952919960022,0.5608950257301331,0.7044934034347534,0.7248283624649048,0.73079514503479,0.7574257254600525,0.631441056728363,0.6822742223739624
18,0.5926640033721924,0.5616034865379333,0.7023468613624573,0.7231121063232422,0.7278842926025391,0.7546239495277405,0.6299854516983032,0.6822742223739624
19,0.589448094367981,0.5604557394981384,0.7029193043708801,0.7242562770843506,0.7201166152954102,0.7467300891876221,0.6471615433692932,0.7001115083694458
20,0.5925920605659485,0.5596094131469727,0.7037779092788696,0.7219679355621338,0.7234042286872864,0.7461077570915222,0.6433770060539246,0.694537341594696
21,0.5908896923065186,0.5611394047737122,0.7047796249389648,0.7299771308898926,0.7303559184074402,0.7727856040000916,0.6331877708435059,0.6711259484291077
