Threshold,Accuracy,Precision,Recall,F1_Score
0.0,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.01,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.02,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.03,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.04,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.05,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.06,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.07,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.08,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.09,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.1,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.11,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.12,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.13,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.14,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.15,0.49702517162471394,0.49656436097114065,1.0,0.6636057545148454
0.16,0.4974828375286041,0.49678899082568806,0.9990774907749077,0.6636029411764706
0.17,0.4993135011441648,0.49770009199632015,0.9981549815498155,0.6642111724984653
0.18,0.505720823798627,0.5009267840593142,0.9972324723247232,0.6668723010487353
0.19,0.5130434782608696,0.5046904315196998,0.992619926199262,0.6691542288557214
0.2,0.519908466819222,0.5082899099952629,0.9898523985239852,0.6716744913928012
0.21,0.5327231121281465,0.5151807228915662,0.9861623616236163,0.6767964545742323
0.22,0.5482837528604119,0.5240456122954883,0.9750922509225092,0.6817155756207675
0.23,0.5638443935926774,0.5334695963208993,0.9630996309963099,0.6866162446563631
0.24,0.5816933638443936,0.5448785638859557,0.9520295202952029,0.6930826057756884
0.25,0.5954233409610984,0.5545851528384279,0.9372693726937269,0.6968449931412894
0.26,0.6100686498855835,0.5652418447694039,0.9271217712177122,0.7023060796645703
0.27,0.6205949656750572,0.5736568457538995,0.9160516605166051,0.70550621669627
0.28,0.6292906178489702,0.5811611374407583,0.9049815498154982,0.7077922077922078
0.29,0.6347826086956522,0.5873015873015873,0.8874538745387454,0.7068332108743571
0.3,0.6475972540045767,0.5987421383647799,0.8782287822878229,0.7120418848167539
0.31,0.659954233409611,0.6107862248213125,0.8671586715867159,0.7167365611894777
0.32,0.6677345537757438,0.620457604306864,0.8505535055350554,0.7175097276264591
0.33,0.6819221967963387,0.6357292393579902,0.8404059040590406,0.7238776321017084
0.34,0.6887871853546911,0.6468023255813954,0.8210332103321033,0.7235772357723578
0.35000000000000003,0.6947368421052632,0.6571213262999246,0.8044280442804428,0.7233513065118208
0.36,0.7025171624713958,0.6690031152647975,0.7924354243542435,0.7255067567567568
0.37,0.7061784897025172,0.6768,0.7804428044280443,0.7249357326478149
0.38,0.7070938215102975,0.6819672131147541,0.7675276752767528,0.7222222222222222
0.39,0.7157894736842105,0.6953586497890295,0.7601476014760148,0.7263111502864699
0.4,0.7189931350114417,0.7036395147313691,0.7490774907749077,0.7256478999106345
0.41000000000000003,0.7176201372997711,0.7079252003561888,0.7333948339483395,0.7204349796103308
0.42,0.7208237986270023,0.7162408759124088,0.724169741697417,0.7201834862385321
0.43,0.7244851258581235,0.7231481481481481,0.7204797047970479,0.7218114602587801
0.44,0.7272311212814645,0.7310606060606061,0.7121771217712177,0.7214953271028037
0.45,0.7263157894736842,0.7345559845559846,0.7020295202952029,0.7179245283018868
0.46,0.7249427917620137,0.7360703812316716,0.6946494464944649,0.7147603227337447
0.47000000000000003,0.7254004576659039,0.742,0.6845018450184502,0.7120921305182342
0.48,0.728604118993135,0.7507660878447395,0.6780442804428044,0.7125545322346097
0.49,0.7308924485125858,0.7556701030927835,0.6761992619926199,0.7137293086660176
0.5,0.7299771167048055,0.7572916666666667,0.6706642066420664,0.7113502935420744
0.51,0.7272311212814645,0.7568421052631579,0.6632841328413284,0.7069813176007866
0.52,0.7276887871853547,0.7609391675560299,0.6577490774907749,0.7055912914398812
0.53,0.7272311212814645,0.7640692640692641,0.6512915129151291,0.703187250996016
0.54,0.7254004576659039,0.7665198237885462,0.6420664206642066,0.6987951807228916
0.55,0.7254004576659039,0.7694877505567929,0.6374538745387454,0.6972754793138244
0.56,0.7258581235697941,0.7727784026996626,0.6337638376383764,0.6964014191586416
0.5700000000000001,0.7244851258581235,0.7757437070938215,0.6254612546125461,0.6925434116445353
0.58,0.7221967963386727,0.7802585193889542,0.6125461254612546,0.6863049095607235
0.59,0.7244851258581235,0.7869047619047619,0.6097785977859779,0.6871101871101871
0.6,0.7244851258581235,0.7896634615384616,0.6060885608856088,0.68580375782881
0.61,0.7240274599542335,0.7936507936507936,0.5996309963099631,0.6831318970047294
0.62,0.7217391304347827,0.7952853598014888,0.5913284132841329,0.6783068783068783
0.63,0.7217391304347827,0.8027989821882952,0.5821033210332104,0.6748663101604279
0.64,0.7203661327231121,0.8067444876783398,0.5738007380073801,0.6706199460916442
0.65,0.717162471395881,0.8065789473684211,0.5654981549815498,0.6648590021691974
0.66,0.7139588100686499,0.8088829071332436,0.5544280442804428,0.6579091406677614
0.67,0.7116704805491991,0.810958904109589,0.5461254612546126,0.6527012127894156
0.68,0.708466819221968,0.8143459915611815,0.5341328413284133,0.645125348189415
0.6900000000000001,0.705720823798627,0.8191027496382055,0.522140221402214,0.6377464788732394
0.7000000000000001,0.702974828375286,0.8222222222222222,0.5119926199261993,0.6310403638430927
0.71,0.6993135011441648,0.8249619482496194,0.5,0.6226306720275704
0.72,0.6919908466819222,0.8256735340729001,0.4806273062730627,0.6075801749271137
0.73,0.6823798627002289,0.8260869565217391,0.45571955719557194,0.5873959571938169
0.74,0.6700228832951945,0.8282097649186256,0.4225092250922509,0.5595601710445938
0.75,0.6558352402745995,0.8360323886639676,0.38099630996309963,0.523447401774398
0.76,0.6402745995423341,0.8497652582159625,0.3339483394833948,0.4794701986754967
0.77,0.6118993135011441,0.8619631901840491,0.2592250922509225,0.39858156028368796
0.78,0.5803203661327231,0.8493723849372385,0.18726937269372693,0.30687830687830686
0.79,0.5533180778032036,0.8698630136986302,0.11715867158671586,0.20650406504065041
0.8,0.5295194508009153,0.8589743589743589,0.061808118081180814,0.1153184165232358
0.81,0.5121281464530892,0.8214285714285714,0.021217712177121772,0.04136690647482014
0.8200000000000001,0.5061784897025171,0.7777777777777778,0.006457564575645757,0.012808783165599268
0.8300000000000001,0.5038901601830663,0.0,0.0,0.0
0.84,0.5038901601830663,0.0,0.0,0.0
0.85,0.5038901601830663,0.0,0.0,0.0
0.86,0.5038901601830663,0.0,0.0,0.0
0.87,0.5038901601830663,0.0,0.0,0.0
0.88,0.5038901601830663,0.0,0.0,0.0
0.89,0.5038901601830663,0.0,0.0,0.0
0.9,0.5038901601830663,0.0,0.0,0.0
0.91,0.5038901601830663,0.0,0.0,0.0
0.92,0.5038901601830663,0.0,0.0,0.0
0.93,0.5038901601830663,0.0,0.0,0.0
0.9400000000000001,0.5038901601830663,0.0,0.0,0.0
0.9500000000000001,0.5038901601830663,0.0,0.0,0.0
0.96,0.5038901601830663,0.0,0.0,0.0
0.97,0.5038901601830663,0.0,0.0,0.0
0.98,0.5038901601830663,0.0,0.0,0.0
0.99,0.5038901601830663,0.0,0.0,0.0
1.0,0.5038901601830663,0.0,0.0,0.0
