Recall,Precision,Threshold
1.0,0.49610983981693363,0.17220041155815125
1.0,0.49633699633699635,0.17276741564273834
1.0,0.49656436097114065,0.17305755615234375
1.0,0.49679193400549954,0.17313042283058167
1.0,0.49701971572673087,0.17334342002868652
0.9935424354243543,0.5053965274519006,0.17339374125003815
0.9935424354243543,0.5056338028169014,0.17341874539852142
0.9935424354243543,0.506109022556391,0.17345073819160461
0.9935424354243543,0.5063469675599436,0.17404495179653168
0.9935424354243543,0.506585136406397,0.17417852580547333
0.9935424354243543,0.5068235294117647,0.17427049577236176
0.9935424354243543,0.5070621468926554,0.1744551956653595
0.9935424354243543,0.5073009891662741,0.17457377910614014
0.992619926199262,0.5070688030160226,0.1748104840517044
0.992619926199262,0.5073078736445074,0.17541652917861938
0.992619926199262,0.5075471698113208,0.1758229285478592
0.992619926199262,0.5077866918357716,0.17647071182727814
0.992619926199262,0.5080264400377715,0.1770605593919754
0.992619926199262,0.5082664147378365,0.17726139724254608
0.992619926199262,0.5085066162570888,0.1776232123374939
0.992619926199262,0.5087470449172576,0.17774879932403564
0.992619926199262,0.5089877010406811,0.17789310216903687
0.9916974169741697,0.5087553241836251,0.1785215586423874
0.9916974169741697,0.5089962121212122,0.17865249514579773
0.9907749077490775,0.5087636191378494,0.178902730345726
0.9907749077490775,0.5090047393364929,0.17933516204357147
0.9907749077490775,0.5092460881934566,0.17942914366722107
0.9907749077490775,0.5094876660341556,0.17977003753185272
0.9898523985239852,0.5092548647365923,0.1798468381166458
0.9898523985239852,0.5094966761633428,0.1798676997423172
0.9898523985239852,0.5097387173396675,0.18010668456554413
0.9898523985239852,0.5099809885931559,0.1802779734134674
0.9898523985239852,0.510223490252021,0.1806105226278305
0.9898523985239852,0.5104662226450999,0.18155241012573242
0.9898523985239852,0.5107091861018562,0.18157906830310822
0.9898523985239852,0.5109523809523809,0.18162286281585693
0.9898523985239852,0.511439466158246,0.18173277378082275
0.9898523985239852,0.5116833571769194,0.18173402547836304
0.9898523985239852,0.5119274809160306,0.1818207949399948
0.9898523985239852,0.5121718377088306,0.18192200362682343
0.9898523985239852,0.5124164278892073,0.18225298821926117
0.9898523985239852,0.5126612517916865,0.1822640299797058
0.9898523985239852,0.5131516021042564,0.1822868436574936
0.9898523985239852,0.5133971291866029,0.1825076937675476
0.988929889298893,0.5131641933939685,0.18260319530963898
0.988929889298893,0.5134099616858238,0.18269741535186768
0.988929889298893,0.5136559655007187,0.18299120664596558
0.988929889298893,0.513902205177373,0.18420803546905518
0.988929889298893,0.5141486810551559,0.18432855606079102
0.988929889298893,0.5143953934740882,0.18533290922641754
0.988929889298893,0.514642342774844,0.18542753159999847
0.988929889298893,0.5148895292987512,0.18549080193042755
0.9880073800738007,0.5146564151850072,0.1855171024799347
0.9870848708487084,0.5144230769230769,0.18563081324100494
0.9870848708487084,0.5146705146705147,0.1858016550540924
0.9870848708487084,0.5149181905678537,0.1858770251274109
0.9861623616236163,0.5146846413095811,0.18603050708770752
0.9861623616236163,0.5149325626204239,0.18614241480827332
0.985239852398524,0.5146987951807229,0.18620482087135315
0.985239852398524,0.5149469623915139,0.1865951418876648
0.985239852398524,0.5151953690303908,0.1867179274559021
0.9843173431734318,0.51496138996139,0.18673911690711975
0.9843173431734318,0.5152100434572671,0.18680325150489807
0.9843173431734318,0.5154589371980677,0.18684566020965576
0.9843173431734318,0.5157080715321412,0.1870577186346054
0.9843173431734318,0.5159574468085106,0.1871006190776825
0.9833948339483395,0.5157232704402516,0.18767093122005463
0.9833948339483395,0.515972894482091,0.18799029290676117
0.9833948339483395,0.5164728682170543,0.18843689560890198
0.9833948339483395,0.5167232186136694,0.18850243091583252
0.9833948339483395,0.5169738118331717,0.1889723241329193
0.9833948339483395,0.517224648229015,0.18909302353858948
0.9833948339483395,0.5174757281553398,0.1891302615404129
0.9824723247232472,0.5172413793103449,0.18925586342811584
0.9824723247232472,0.5174927113702624,0.18974676728248596
0.9824723247232472,0.5177442877977637,0.18976445496082306
0.9824723247232472,0.5179961089494164,0.18986548483371735
0.9824723247232472,0.5182481751824818,0.19003185629844666
0.9824723247232472,0.5185004868549172,0.19068168103694916
0.9824723247232472,0.5187530443253775,0.1906926929950714
0.9824723247232472,0.5190058479532164,0.191299170255661
0.9824723247232472,0.5192588980984886,0.1913435012102127
0.9824723247232472,0.5195121951219512,0.19167450070381165
0.9824723247232472,0.5197657393850659,0.19184571504592896
0.9824723247232472,0.52001953125,0.19227387011051178
0.981549815498155,0.520039100684262,0.19264701008796692
0.9806273062730627,0.5198044009779951,0.19298361241817474
0.9797047970479705,0.5195694716242661,0.1931581050157547
0.9797047970479705,0.5198237885462555,0.19325917959213257
0.9797047970479705,0.5203331700146987,0.1934802234172821
0.9797047970479705,0.5205882352941177,0.1937384009361267
0.9787822878228782,0.5203531142717018,0.193816140294075
0.9769372693726938,0.5198821796759941,0.19444552063941956
0.9769372693726938,0.5201375245579568,0.1961382031440735
0.9769372693726938,0.5203931203931204,0.1961565911769867
0.9769372693726938,0.5209050664043285,0.19694535434246063
0.9760147601476015,0.5206692913385826,0.19721835851669312
0.9750922509225092,0.5204332840965041,0.19816571474075317
