False_Positive_Rate,True_Positive_Rate,Threshold
0.0,0.0,inf
0.0,0.0009225092250922509,0.86672497
0.0009082652134423251,0.0009225092250922509,0.86252296
0.0009082652134423251,0.006457564575645757,0.8536317
0.0018165304268846503,0.006457564575645757,0.8530019
0.0018165304268846503,0.01107011070110701,0.8507647
0.0027247956403269754,0.01107011070110701,0.850747
0.0027247956403269754,0.024907749077490774,0.84442896
0.0036330608537693005,0.024907749077490774,0.84370327
0.0036330608537693005,0.03044280442804428,0.84250414
0.004541326067211626,0.03044280442804428,0.8422954
0.004541326067211626,0.03413284132841329,0.84065187
0.005449591280653951,0.03413284132841329,0.8395287
0.005449591280653951,0.03505535055350553,0.8393389
0.006357856494096276,0.03505535055350553,0.83929646
0.006357856494096276,0.04151291512915129,0.83618015
0.007266121707538601,0.04151291512915129,0.8357023
0.007266121707538601,0.0507380073800738,0.83308506
0.009082652134423252,0.0507380073800738,0.8324669
0.009082652134423252,0.05166051660516605,0.83243155
0.011807447774750226,0.05166051660516605,0.8322409
0.011807447774750226,0.07103321033210332,0.8274596
0.012715712988192553,0.07103321033210332,0.82680994
0.012715712988192553,0.07841328413284133,0.8256211
0.013623978201634877,0.07841328413284133,0.8255411
0.013623978201634877,0.08671586715867159,0.82407475
0.014532243415077202,0.08671586715867159,0.8239734
0.014532243415077202,0.10608856088560886,0.82143694
0.015440508628519528,0.10608856088560886,0.8214074
0.015440508628519528,0.1070110701107011,0.8213726
0.01634877384196185,0.1070110701107011,0.8213076
0.01634877384196185,0.11162361623616236,0.8210265
0.01725703905540418,0.11162361623616236,0.8208502
0.01725703905540418,0.11439114391143912,0.8207545
0.018165304268846504,0.11439114391143912,0.8203869
0.018165304268846504,0.11900369003690037,0.8200967
0.01907356948228883,0.11900369003690037,0.81997174
0.01907356948228883,0.1282287822878229,0.81870365
0.019981834695731154,0.1282287822878229,0.8184208
0.019981834695731154,0.12915129151291513,0.81840277
0.02089009990917348,0.12915129151291513,0.8183269
0.02089009990917348,0.13099630996309963,0.8178604
0.021798365122615803,0.13099630996309963,0.8178204
0.021798365122615803,0.13560885608856088,0.81692404
0.022706630336058128,0.13560885608856088,0.8167917
0.022706630336058128,0.13837638376383765,0.8161336
0.023614895549500452,0.13837638376383765,0.8160408
0.023614895549500452,0.14575645756457564,0.8151921
0.02452316076294278,0.14575645756457564,0.8151263
0.02452316076294278,0.1466789667896679,0.8151049
0.02633969118982743,0.1466789667896679,0.8147919
0.02633969118982743,0.1522140221402214,0.81363004
0.027247956403269755,0.1522140221402214,0.8132986
0.027247956403269755,0.16236162361623616,0.81195086
0.02815622161671208,0.16236162361623616,0.8119308
0.02815622161671208,0.1688191881918819,0.8111969
0.029064486830154404,0.1688191881918819,0.81107545
0.029064486830154404,0.17435424354243542,0.80993366
0.02997275204359673,0.17435424354243542,0.80989647
0.02997275204359673,0.17619926199261993,0.80977464
0.030881017257039057,0.17619926199261993,0.8096281
0.030881017257039057,0.18450184501845018,0.8082198
0.03178928247048138,0.18450184501845018,0.80788416
0.03178928247048138,0.19557195571955718,0.80641365
0.03451407811080836,0.19557195571955718,0.80607647
0.03451407811080836,0.1974169741697417,0.80598986
0.035422343324250684,0.1974169741697417,0.8057461
0.035422343324250684,0.2047970479704797,0.80481315
0.03633060853769301,0.2047970479704797,0.80469424
0.03633060853769301,0.20571955719557194,0.8046016
0.03723887375113533,0.20571955719557194,0.80443746
0.03723887375113533,0.22140221402214022,0.80221957
0.03814713896457766,0.22140221402214022,0.8020775
0.03814713896457766,0.22509225092250923,0.80183303
0.03905540417801998,0.22509225092250923,0.8018258
0.03905540417801998,0.22601476014760147,0.8017542
0.03996366939146231,0.22601476014760147,0.8014506
0.03996366939146231,0.22878228782287824,0.8011269
0.04087193460490463,0.22878228782287824,0.80111223
0.04087193460490463,0.22970479704797048,0.80097663
0.04178019981834696,0.22970479704797048,0.80073273
0.04178019981834696,0.24261992619926198,0.7990918
0.043596730245231606,0.24261992619926198,0.79875386
0.043596730245231606,0.2444649446494465,0.7987324
0.043596730245231606,0.2481549815498155,0.7982707
0.04450499545867393,0.2481549815498155,0.7982043
0.04450499545867393,0.25461254612546125,0.79758394
0.045413260672116255,0.25461254612546125,0.7975535
0.045413260672116255,0.2592250922509225,0.79726374
0.04632152588555858,0.2592250922509225,0.7971199
0.04632152588555858,0.26845018450184505,0.7966002
0.047229791099000905,0.26845018450184505,0.7965325
0.047229791099000905,0.2693726937269373,0.79651713
0.048138056312443236,0.2693726937269373,0.7964721
0.048138056312443236,0.2730627306273063,0.79614097
0.04904632152588556,0.2730627306273063,0.79604936
0.04904632152588556,0.275830258302583,0.795877
0.049954586739327886,0.275830258302583,0.79582477
0.049954586739327886,0.2767527675276753,0.7957534
0.05086285195277021,0.2767527675276753,0.7957044
0.05086285195277021,0.2785977859778598,0.795531
0.051771117166212535,0.2785977859778598,0.79547477
0.051771117166212535,0.28136531365313655,0.79522705
0.05267938237965486,0.28136531365313655,0.7950527
0.05267938237965486,0.2933579335793358,0.79376656
0.053587647593097185,0.2933579335793358,0.7936542
0.053587647593097185,0.29704797047970477,0.7934466
0.05449591280653951,0.29704797047970477,0.7932923
0.05449591280653951,0.3145756457564576,0.79194987
0.055404178019981834,0.3145756457564576,0.7917217
0.055404178019981834,0.31642066420664205,0.7916041
0.05631244323342416,0.31642066420664205,0.79154223
0.05631244323342416,0.33025830258302585,0.7906151
0.05722070844686648,0.33025830258302585,0.79057026
0.05722070844686648,0.3348708487084871,0.79027057
0.05812897366030881,0.3348708487084871,0.79012567
0.05812897366030881,0.3422509225092251,0.789225
0.05903723887375113,0.3422509225092251,0.78918517
0.05903723887375113,0.34870848708487084,0.788664
