Epoch,Training_Loss,Validation_Loss,Training_Accuracy,Validation_Accuracy,Training_Precision,Validation_Precision,Training_Recall,Validation_Recall
14,0.5945671200752258,0.56690514087677,0.682884931564331,0.7276887893676758,0.7083760499954224,0.7723156809806824,0.6032023429870605,0.6655518412590027
15,0.5959492325782776,0.5658146142959595,0.6771608591079712,0.7288329601287842,0.7008517980575562,0.7708066701889038,0.5988355278968811,0.6711259484291077
16,0.5905753374099731,0.5647451281547546,0.6866056323051453,0.72826087474823,0.7116627097129822,0.769132673740387,0.6093158721923828,0.6722407937049866
17,0.5909687280654907,0.5632967948913574,0.6858900785446167,0.7259725332260132,0.7136457562446594,0.7638888955116272,0.6029112339019775,0.6744704842567444
18,0.5895748734474182,0.5627418160438538,0.6880366206169128,0.7265446186065674,0.7136533856391907,0.7641866207122803,0.6101891994476318,0.6755852699279785
19,0.5898857712745667,0.5623908042907715,0.6847452521324158,0.7288329601287842,0.7079675793647766,0.7708066701889038,0.6104803681373596,0.6711259484291077
20,0.5894162654876709,0.5618990659713745,0.6877504587173462,0.7288329601287842,0.7170072793960571,0.7708066701889038,0.6026200652122498,0.6711259484291077
21,0.5903887748718262,0.5616977214813232,0.6874642372131348,0.7294050455093384,0.7138461470603943,0.771794855594635,0.607860267162323,0.6711259484291077
22,0.5887463688850403,0.5612080693244934,0.6868917942047119,0.7299771308898926,0.7141875624656677,0.7727856040000916,0.6052401661872864,0.6711259484291077
23,0.5895075798034668,0.5607529878616333,0.6868917942047119,0.7294050455093384,0.716869592666626,0.7710997462272644,0.6000000238418579,0.6722407937049866
24,0.59075528383255,0.5611094236373901,0.6824556589126587,0.7294050455093384,0.7105262875556946,0.7710997462272644,0.5973799228668213,0.6722407937049866
25,0.5904528498649597,0.5606645941734314,0.6851745843887329,0.7288329601287842,0.7134462594985962,0.7673830389976501,0.6008733510971069,0.6767001152038574
26,0.5874642729759216,0.5606833100318909,0.6893245577812195,0.7294050455093384,0.7186851501464844,0.7724936008453369,0.6046579480171204,0.6700111627578735
27,0.5866597890853882,0.5595771670341492,0.687321126461029,0.7288329601287842,0.7186843752861023,0.7653701305389404,0.5979621410369873,0.6800445914268494
28,0.5908478498458862,0.559677243232727,0.684029757976532,0.7288329601287842,0.7126516699790955,0.7653701305389404,0.5985444188117981,0.6800445914268494
29,0.5876286625862122,0.5599310994148254,0.68846595287323,0.7288329601287842,0.7182512283325195,0.7673830389976501,0.6026200652122498,0.6767001152038574
30,0.5896117091178894,0.5600675940513611,0.6848883628845215,0.72826087474823,0.7113472819328308,0.7684478163719177,0.6040756702423096,0.6733556389808655
31,0.5874417424201965,0.559567391872406,0.6878935098648071,0.7288329601287842,0.7168049812316895,0.7694267630577087,0.6034934520721436,0.6733556389808655
32,0.5863465666770935,0.5589379072189331,0.691900372505188,0.7299771308898926,0.7189207673072815,0.7700126767158508,0.6128093004226685,0.6755852699279785
33,0.588319718837738,0.5592618584632874,0.6957641839981079,0.7299771308898926,0.7179487347602844,0.7679697275161743,0.6276564598083496,0.6789297461509705
34,0.5855640769004822,0.5592327117919922,0.6983399987220764,0.7276887893676758,0.7189046740531921,0.7688378095626831,0.6343522667884827,0.6711259484291077
35,0.5879595875740051,0.559152364730835,0.7012020349502563,0.7299771308898926,0.7207472920417786,0.7679697275161743,0.6401746869087219,0.6789297461509705
36,0.586911141872406,0.5596525073051453,0.6999141573905945,0.72826087474823,0.7165048718452454,0.7705128192901611,0.6445415019989014,0.6700111627578735
37,0.5870259404182434,0.5591535568237305,0.7030624151229858,0.7299771308898926,0.7226588129997253,0.7672955989837646,0.6425036191940308,0.6800445914268494
38,0.5869554877281189,0.5585111379623413,0.7066399455070496,0.7259725332260132,0.725203275680542,0.7593052387237549,0.6491994261741638,0.6822742223739624
39,0.5876694321632385,0.558993399143219,0.7059244513511658,0.7276887893676758,0.7221506834030151,0.7634543180465698,0.6529839634895325,0.6800445914268494
40,0.5877538323402405,0.5587581396102905,0.705208957195282,0.7271167039871216,0.7225639224052429,0.7599009871482849,0.6497816443443298,0.6845039129257202
41,0.5854880809783936,0.5586451292037964,0.7016313672065735,0.72826087474823,0.7163461446762085,0.7650753855705261,0.6506550312042236,0.6789297461509705
42,0.5851079821586609,0.5583686232566833,0.7033485770225525,0.7265446186065674,0.7178502678871155,0.7615480422973633,0.6532751321792603,0.6800445914268494
43,0.5864744186401367,0.5582098364830017,0.7099313139915466,0.7265446186065674,0.727979302406311,0.7628607153892517,0.6544395685195923,0.6778149604797363
44,0.5862202644348145,0.5582332015037537,0.7062106728553772,0.7276887893676758,0.7219011187553406,0.7647798657417297,0.6544395685195923,0.6778149604797363
