Threshold,Accuracy,Precision,Recall,F1_Score
0.0,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.01,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.02,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.03,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.04,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.05,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.06,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.07,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.08,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.09,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.1,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.11,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.12,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.13,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.14,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.15,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.16,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.17,0.49610983981693363,0.49610983981693363,1.0,0.663199755276843
0.18,0.522654462242563,0.5097387173396675,0.9898523985239852,0.6729382251489495
0.19,0.5382151029748283,0.5182481751824818,0.9824723247232472,0.6785600509716471
0.2,0.5432494279176201,0.5212240868706811,0.974169741697417,0.6790996784565917
0.21,0.5533180778032036,0.5271084337349398,0.9686346863468634,0.682704811443433
0.22,0.5578947368421052,0.5298885511651469,0.9649446494464945,0.684107259646828
0.23,0.5652173913043478,0.534394250513347,0.9603321033210332,0.6866754617414248
0.24,0.5702517162471396,0.5376232485729112,0.955719557195572,0.6881434739289273
0.25,0.5757437070938215,0.5410779696493982,0.9538745387453874,0.6904841402337228
0.26,0.5835240274599542,0.5462765957446809,0.9474169741697417,0.6929824561403509
0.27,0.5908466819221968,0.5511853448275862,0.9437269372693727,0.6959183673469388
0.28,0.5981693363844394,0.5564692982456141,0.9363468634686347,0.6980742778541953
0.29,0.6045766590389016,0.5611111111111111,0.9317343173431735,0.7004160887656034
0.3,0.6146453089244851,0.5688282138794084,0.922509225092251,0.7037297677691766
0.31,0.6338672768878718,0.5855421686746988,0.8966789667896679,0.7084548104956269
0.32,0.6512585812356979,0.6017699115044248,0.8782287822878229,0.714178544636159
0.33,0.6677345537757438,0.6191744340878829,0.8579335793357934,0.7192575406032483
0.34,0.6855835240274599,0.6387141858839972,0.8431734317343174,0.7268389662027833
0.35000000000000003,0.6929061784897025,0.6517266715650257,0.8182656826568265,0.725562372188139
0.36,0.702974828375286,0.666157372039725,0.8044280442804428,0.7287923109068115
0.37,0.7048054919908466,0.6740681998413958,0.7841328413284133,0.7249466950959488
0.38,0.7098398169336384,0.6829268292682927,0.7749077490774908,0.7260155574762316
0.39,0.7139588100686499,0.6926952141057935,0.761070110701107,0.7252747252747253
0.4,0.717162471395881,0.7015570934256056,0.7481549815498155,0.7241071428571428
0.41000000000000003,0.717162471395881,0.7072953736654805,0.7333948339483395,0.720108695652174
0.42,0.7194508009153318,0.71350861287398,0.7260147601476015,0.7197073616826704
0.43,0.7231121281464531,0.7203311867525299,0.7223247232472325,0.7213265776140028
0.44,0.7235697940503433,0.7247191011235955,0.7140221402214022,0.7193308550185874
0.45,0.7217391304347827,0.7270992366412213,0.7029520295202952,0.7148217636022514
0.46,0.7244851258581235,0.7339805825242719,0.6974169741697417,0.7152317880794702
0.47000000000000003,0.7263157894736842,0.7396449704142012,0.6918819188191881,0.7149666348903718
0.48,0.7272311212814645,0.7430278884462151,0.6881918819188192,0.7145593869731801
0.49,0.7258581235697941,0.7437185929648241,0.6826568265682657,0.7118807118807119
0.5,0.7254004576659039,0.7449392712550608,0.6789667896678967,0.7104247104247104
0.51,0.7276887871853547,0.7507692307692307,0.6752767527675276,0.7110247693054881
0.52,0.7272311212814645,0.7546972860125261,0.6669741697416974,0.7081292850146915
0.53,0.7258581235697941,0.7555321390937829,0.6614391143911439,0.705361534677816
0.54,0.7254004576659039,0.759656652360515,0.6531365313653137,0.7023809523809523
0.55,0.7231121281464531,0.7617486338797814,0.6429889298892989,0.6973486743371686
0.56,0.7244851258581235,0.7677777777777778,0.6374538745387454,0.6965725806451613
0.5700000000000001,0.7212814645308925,0.7708095781071835,0.6236162361623616,0.6894441611422744
0.58,0.7249427917620137,0.7831184056271981,0.6162361623616236,0.6897263810015488
0.59,0.7235697940503433,0.7870813397129187,0.6070110701107011,0.6854166666666667
0.6,0.7244851258581235,0.7946210268948656,0.5996309963099631,0.6834910620399579
0.61,0.7212814645308925,0.7950310559006211,0.5904059040590406,0.6776071995764955
0.62,0.7208237986270023,0.8015267175572519,0.5811808118081181,0.6737967914438503
0.63,0.7199084668192219,0.8049095607235142,0.5747232472324724,0.6706135629709364
0.64,0.7162471395881007,0.8101604278074866,0.559040590405904,0.6615720524017468
0.65,0.7102974828375286,0.8101788170563962,0.5433579335793358,0.650469353948095
0.66,0.7075514874141876,0.810320781032078,0.5359778597785978,0.6451971127151582
0.67,0.708466819221968,0.8161244695898161,0.5322878228782287,0.6443327749860414
0.68,0.7080091533180778,0.8204022988505747,0.5267527675276753,0.6415730337078651
0.6900000000000001,0.7075514874141876,0.8210678210678211,0.5249077490774908,0.6404051772650534
0.7000000000000001,0.7070938215102975,0.8255131964809385,0.5193726937269373,0.637599093997735
0.71,0.7052631578947368,0.8254437869822485,0.514760147601476,0.634090909090909
0.72,0.7043478260869566,0.8258928571428571,0.5119926199261993,0.6321184510250569
0.73,0.702974828375286,0.8251121076233184,0.5092250922509225,0.6297775242441529
0.74,0.6988558352402746,0.8276923076923077,0.496309963099631,0.6205305651672434
0.75,0.694279176201373,0.8291139240506329,0.4833948339483395,0.6107226107226107
0.76,0.6887871853546911,0.8300653594771242,0.46863468634686345,0.5990566037735849
0.77,0.691533180778032,0.8416666666666667,0.46586715867158673,0.5997624703087886
0.78,0.6704805491990846,0.8446969696969697,0.4114391143911439,0.5533498759305211
0.79,0.6411899313501144,0.8504672897196262,0.33579335793357934,0.48148148148148145
0.8,0.5995423340961098,0.8471760797342193,0.235239852398524,0.36823104693140796
0.81,0.5752860411899313,0.8545454545454545,0.17343173431734318,0.2883435582822086
0.8200000000000001,0.5537757437070938,0.8657718120805369,0.11900369003690037,0.20924574209245742
0.8300000000000001,0.5272311212814645,0.8311688311688312,0.05904059040590406,0.11024978466838932
0.84,0.5185354691075514,0.8809523809523809,0.03413284132841329,0.06571936056838366
0.85,0.508466819221968,0.8125,0.011992619926199263,0.023636363636363636
0.86,0.5038901601830663,0.5,0.0009225092250922509,0.001841620626151013
0.87,0.5038901601830663,0.0,0.0,0.0
0.88,0.5038901601830663,0.0,0.0,0.0
0.89,0.5038901601830663,0.0,0.0,0.0
0.9,0.5038901601830663,0.0,0.0,0.0
0.91,0.5038901601830663,0.0,0.0,0.0
0.92,0.5038901601830663,0.0,0.0,0.0
0.93,0.5038901601830663,0.0,0.0,0.0
0.9400000000000001,0.5038901601830663,0.0,0.0,0.0
0.9500000000000001,0.5038901601830663,0.0,0.0,0.0
0.96,0.5038901601830663,0.0,0.0,0.0
0.97,0.5038901601830663,0.0,0.0,0.0
0.98,0.5038901601830663,0.0,0.0,0.0
0.99,0.5038901601830663,0.0,0.0,0.0
1.0,0.5038901601830663,0.0,0.0,0.0
